rank,page_path,classes,clicks_3m,impr_3m,ctr_3m_pct,pos_3m,clicks_28d,impr_28d,pos_28d,clicks_prev28d,impr_prev28d,clicks_delta_pct,impr_delta_pct,band_median_ctr_pct,est_extra_clicks_3m_if_median
1,/states/connecticut-lawyer-costs,BC,9,1590,0.566,10.9,5,841,10.3,3,464,66.7,81.2,1.228,10.5
2,/states/pennsylvania-lawyer-costs,BC,6,1299,0.462,12.0,1,906,9.4,3,273,-66.7,231.9,1.086,8.1
3,/states/missouri-lawyer-costs,BC,15,2121,0.707,13.6,7,1031,11.4,3,443,133.3,132.7,1.086,8.0
4,/states/south-dakota-lawyer-costs,ABC,13,1562,0.832,8.6,9,1049,7.4,4,335,125.0,213.1,1.228,6.2
5,/states/arkansas-lawyer-costs,BCE,11,1389,0.792,9.3,4,783,9.3,6,422,-33.3,85.5,1.228,6.1
6,/states/ohio-lawyer-costs,C,3,891,0.337,17.4,2,510,15.0,0,282,,80.9,0.982,5.7
7,/states/kentucky-lawyer-costs,AC,24,2730,0.879,11.5,10,1305,8.6,10,933,0.0,39.9,1.086,5.6
8,/states/maryland-lawyer-costs,AC,17,2254,0.754,19.1,11,1422,15.8,3,490,266.7,190.2,0.982,5.1
9,/states/michigan-lawyer-costs,BC,6,866,0.693,14.7,2,589,10.0,3,172,-33.3,242.4,1.086,3.4
10,/pages/business-lawyer-cost,F,0,1426,0.0,58.5,0,557,46.4,0,500,,11.4,0.186,2.7
11,/states/kansas-lawyer-costs,AC,14,1362,1.028,9.6,12,724,8.5,1,379,1100.0,91.0,1.228,2.7
12,/pages/lawyer-consultation-fee,F,0,1321,0.0,58.1,0,571,47.8,0,438,,30.4,0.186,2.5
13,/states/rhode-island-lawyer-costs,C,8,827,0.967,9.4,2,404,7.6,3,254,-33.3,59.1,1.228,2.2
14,/states/west-virginia-lawyer-costs,C,14,1480,0.946,14.1,7,713,11.7,5,528,40.0,35.0,1.086,2.1
15,/states/georgia-lawyer-costs,C,3,511,0.587,19.0,3,317,14.0,0,127,,149.6,0.982,2.0
16,/states/north-carolina-lawyer-costs,C,4,897,0.446,24.5,2,415,13.1,2,230,0.0,80.4,0.656,1.9
17,/pages/criminal-defense-lawyer-cost,F,0,928,0.0,59.3,0,352,48.3,0,348,,1.1,0.186,1.7
18,/states/arizona-lawyer-costs,AC,17,1709,0.995,11.8,8,852,10.8,6,567,33.3,50.3,1.086,1.6
19,/pages/dui-lawyer-cost,F,0,531,0.0,56.2,0,316,56.1,0,168,,88.1,0.186,1.0
20,/states/virginia-lawyer-costs,A,13,2114,0.615,26.0,9,1006,17.3,4,654,125.0,53.8,0.656,0.9
21,/states/nebraska-lawyer-costs,C,10,1001,0.999,13.3,4,439,8.2,3,372,33.3,18.0,1.086,0.9
22,/states/vermont-lawyer-costs,C,7,644,1.087,8.5,5,304,6.7,2,210,150.0,44.8,1.228,0.9
23,/pages/legal-fee-calculator,F,0,363,0.0,55.8,0,123,49.2,0,92,,33.7,0.186,0.7
24,/states/new-jersey-lawyer-costs,AC,30,2822,1.063,11.5,14,1434,8.3,14,804,0.0,78.4,1.086,0.6
25,/pages/how-much-does-a-lawyer-cost,E,1,849,0.118,59.2,1,184,48.3,0,339,,-45.7,0.186,0.6
26,/pages/employment-lawyer-cost,F,2,1195,0.167,43.0,2,381,32.1,0,424,,-10.1,0.186,0.2
27,/states/alabama-lawyer-costs,C,22,2039,1.079,12.4,9,806,8.1,11,504,-18.2,59.9,1.086,0.1
28,/states/new-york-lawyer-costs,A,12,4264,0.281,28.3,11,2318,19.5,1,1223,1000.0,89.5,0.186,0
29,/states/louisiana-lawyer-costs,A,20,4142,0.483,32.5,13,1239,19.1,5,1615,160.0,-23.3,0.186,0
30,/states/south-carolina-lawyer-costs,A,24,3183,0.754,32.4,12,1352,17.9,11,1035,9.1,30.6,0.186,0
31,/states/massachusetts-lawyer-costs,AC,35,3037,1.152,12.7,17,1849,10.9,14,895,21.4,106.6,1.086,0
